,0
0,"When enterpreneurs become celebrities , India is on the right path!"
1,I need such 'Clarity of thoughts'  in my life. Need more businessmen like him 
2,It takes a lot of courage to say 'NO'. Completely agree with Ashneer. A Gem of a person.
3,"My respect for Mr Grover increased two folds after listening to this podcast. He's a very sorted, straight forward man "
4,"I do not think that any Shark rather than Ashneer will talk so openly about the secret of success like him. At last Ashneer is the best, Loved it Please do podcasts like this with other Sharks."
5,"Have been his fan from Day 1 of watching Shark Tank. No nonsense and so quick to judge the product/brand correctly. He is here to build business and make money, values his own time and energy. Cuts off BS and comes straight to the point. Great fan."
6,Ashneer sir is like a teacher we used to hate on our school days only because he showed us our weakness and scold us in front of everyone but later in life we only remember that specific teacher.
7,"This one hour conversation was better than 10 books.
Mad respect for Ashneer "
8,"""sometimes you are nicer to ppl by not being nice to them!""️

what a quote by him during one of the episodes.. "
9,So much value in this conversation that can be applied to any business. Ashneer is such a game changer    
10,Raj asked basic questions by breaking them into smaller parts and Ashneer Sir answered it beautifully without any hifi terms and funda ️
11,Ashneer is really inspiring person !!
12,"I can listen to Ashneer whole day...He is so focused,Always on point and calculative at the same time..."
13,He prefers Hindi over English being at that level it shows how much he values the indianness no doubt how he succeeded in his endeavour!
14,He is a great guy...I actually learnt a lot from him during last couple of months....and I also had a lot of respect and it is increased lot more after watching this episode.... thanks for covering him in this session...
15,"Lots of salute to Ashneer, a true intelligent rebel. We need more people like him who can stand up confidently for what is sensible and beneficial even if some trend following sheep judge him. We need more people like him who can function out of their own intelligence instead of succumbing to social norms."
16,"Ashneer sir has a separate fan base. From the very first episode I became his fan. 
This podcast is gold..download and save it guys!"
17,Ashneer is my favourite from starting of the show he is so inspiring this podcast makes me to learn many new things
18,"""'I am not here to be an Indian version of an American shark "" That's why I love this guy. Man he is soo direct and on point; and that's the reason he is my favourite shark. Loved this conversation a lot !!"
19,My entire mindset has changed. I had fromed such a different view of Ashneer. But after hearing this podcast I feel so motivated and for the first time things that made sense to me are being said out loud. I am so fucking inspired and happy that we have entrepreneurs like him and its great to see that there are so many people who are supporting him.
20,"Straight as an arrow! 
Loved the conversation. He is so focused and dedicated. Rightly said Appearance are deceptive!"
21,"Thanks for providing the people of India with the quality content that other big industries are lacking at nowadays! Keep the good work up man, it was amazing listening to both of your conversation! "
22,"You don’t need any catch phrase..ppl will spend enough time to watch his interview without any catch phrase for his honesty,no-nonsense attitude & the immense knowledge that he has"
23,"Completely enjoyed listening to both of them...
.Ashneer's clarity of thoughts 
Kudos to Raj for asking the right questions! "
24,"There were a lot of questions about Ashneer's aggressiveness and brutal honesty throughout the season. But now, when we listen to his perspective, it all makes so much sense. The art of saying NO is one of the most underrated things ever."
25,The way Ashneer threw insights on making brand and how he has such a different attitude towards business really tells why he's the most liked shark on the show.
26,Loved the fact that Ashneer answered everything in Hindi even though Raj was questioning in English 
27,Loved you in the show.  no drama no sugar coat ..just real ... huge respect and admiration
28,Today I understand why he is like the way he is SUCH CLARITY EVERYONE NEED IN ALL ASPECTS OF LIFE WHAT A GUY.
29,Ashneer has next level understanding and maturity of how a business needs to be done. Thanks for the interview Raj. Really enjoyed it and learned out of it. Cheers.
30,"In our society of diplomacy and sugarcoating everything, Ashneer comes in like a fresh, blunt and clear person that we could see after a very long time. This was so needed. Thanks Raj for this conversation."
31,"This was such an insightful, useful and value building podcast Raj. Kudos to Ashneer for being the person he is!"
32,"Never listened a podcast so deeply and full, Loved it! Thanking you Raj for bringing the future Elon Musk. "
33,The kind of precision and clarity of thought he has is commendable and which is why he is this much successful.
34,Excellent interview! Kudos to Raj too for making it worthwhile for the viewers with the curiosity of 10 year old yet the psyche of a shrewd and intelligent man. Amazing
35,Very straight forward ....... Very happy to see entrepreneurs become the role model for youth 
36,"Great Conversation  Quality Personality Mr Ashneer  
Best quotes: Sometimes you are nicest to people by not being nice to them"
37,Ashneer grover is a straight forward guy... His way of talking itself has a aura.. You wanted to listen it whole day... Very inspiring man️
38,Value added in my life ️ This could be a perspective changing podcast for me 
39,"Absolute genius Ashneer !!
Your clarity is something to be emulated..
Start your own YouTube channel bro 
Youngsters will love it"
40,Best episode till date on the whole Indian podcast list . Absolute gem
